STATE BANK,KATIPALLA,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;HONNAKATTE,12:25,13:14,21.2
KATIPALLA,STATE BANK,HONNAKATTE;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,13:20,14:09,21.2
STATE BANK,KATIPALLA,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;HONNAKATTE,14:20,15:09,21.2
KATIPALLA,STATE BANK,HONNAKATTE;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,15:20,16:09,21.2
STATE BANK,KATIPALLA,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;HONNAKATTE,16:15,17:04,21.2
KATIPALLA,STATE BANK,HONNAKATTE;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,17:10,17:59,21.2
STATE BANK,KAIKAMBA,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;JANATA COLONY,06:34,07:23,20.8
KAIKAMBA,STATE BANK,JANATA COLONY;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,07:31,08:20,20.8
STATE BANK,KAIKAMBA,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;JANATA COLONY,08:28,09:17,20.8
KAIKAMBA,STATE BANK,JANATA COLONY;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,09:30,10:19,20.8
STATE BANK,KAIKAMBA,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;JANATA COLONY,10:33,11:22,20.8
KAIKAMBA,STATE BANK,JANATA COLONY;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,11:35,12:24,20.8
STATE BANK,KAIKAMBA,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;JANATA COLONY,12:40,13:29,20.8
KAIKAMBA,STATE BANK,JANATA COLONY;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,13:40,14:29,20.8
STATE BANK,KAIKAMBA,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;JANATA COLONY,14:40,15:29,20.8
KAIKAMBA,STATE BANK,JANATA COLONY;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,15:40,16:29,20.8
STATE BANK,KAIKAMBA,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;JANATA COLONY,16:40,17:29,20.8
KAIKAMBA,STATE BANK,JANATA COLONY;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,17:40,18:29,20.8
STATE BANK,GURUPURA KAIKAMBA,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,07:42,08:29,20.1
GURUPURA KAIKAMBA,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,08:43,09:30,20.1
STATE BANK,GURUPURA KAIKAMBA,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,09:47,10:34,20.1
GURUPURA KAIKAMBA,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,10:47,11:34,20.1
STATE BANK,GURUPURA KAIKAMBA,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,11:47,12:34,20.1
GURUPURA KAIKAMBA,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,12:50,13:37,20.1
STATE BANK,GURUPURA KAIKAMBA,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,14:30,15:17,20.1
GURUPURA KAIKAMBA,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,15:30,16:17,20.1
STATE BANK,GURUPURA KAIKAMBA,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,16:20,17:07,20.1
GURUPURA KAIKAMBA,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,17:10,17:57,20.1
STATE BANK,GURUPURA KAIKAMBA,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,18:00,18:47,20.1
GURUPURA KAIKAMBA,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,18:55,19:42,20.1
STATE BANK,MUDUSHEDDE,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,14:50,15:26,14
MUDUSHEDDE,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,15:35,16:11,14
STATE BANK,MUDUSHEDDE,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,16:22,16:58,14
MUDUSHEDDE,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,17:09,17:45,14
STATE BANK,MUDUSHEDDE,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,17:58,18:36,14
MUDUSHEDDE,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,18:45,19:23,14
STATE BANK,MUDUSHEDDE,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,19:43,20:21,14
MUDUSHEDDE,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,07:10,07:48,14
STATE BANK,MUDUSHEDDE,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,07:55,08:31,14
MUDUSHEDDE,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,08:40,09:16,14
STATE BANK,MUDUSHEDDE,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,09:38,10:14,14
MUDUSHEDDE,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,10:19,10:55,14
STATE BANK,MUDUSHEDDE,JYOTHI CIRCLE;MALLIKATTE;NANTHUR;VAMANJUR;GURUPURA,11:08,11:44,14
MUDUSHEDDE,STATE BANK,GURUPURA;VAMANJUR;NANTHUR;MALLIKATTE;JYOTHI CIRCLE;,11:54,12:30,14
STATE BANK,KAIKAMBA GANESHAPURA,CARSRSTREET;LADYHILL;KULUR;BYKAMPADY;SURATAKAL,07:26,08:24,22.5
KAIKAMBA GANESHAPURA,STATE BANK,SURATAKAL;BYKAMPADY;KULUR;LADYHILL;CARSRSTREET;,08:30,09:28,22.5
STATE BANK,KAIKAMBA GANESHAPURA,CARSRSTREET;LADYHILL;KULUR;BYKAMPADY;SURATAKAL,09:36,10:34,22.5
KAIKAMBA GANESHAPURA,STATE BANK,SURATAKAL;BYKAMPADY;KULUR;LADYHILL;CARSRSTREET;,10:37,11:35,22.5
STATE BANK,KAIKAMBA GANESHAPURA,CARSRSTREET;LADYHILL;KULUR;BYKAMPADY;SURATAKAL,11:41,12:39,22.5
KAIKAMBA GANESHAPURA,STATE BANK,SURATAKAL;BYKAMPADY;KULUR;LADYHILL;CARSRSTREET;,13:00,13:58,22.5
STATE BANK,KAIKAMBA GANESHAPURA,CARSRSTREET;LADYHILL;KULUR;BYKAMPADY;SURATAKAL,14:15,15:13,22.5
KAIKAMBA GANESHAPURA,STATE BANK,SURATAKAL;BYKAMPADY;KULUR;LADYHILL;CARSRSTREET;,15:30,16:28,22.5
